Date,temperature,rain
2016-1-1,18,0
2016-1-2,17,0
2016-1-3,18,17
2016-1-4,19,0
2016-1-5,20,0
2016-1-6,18,29
2016-1-7,18,5
2016-1-8,17,10
2016-1-9,17,0
2016-1-10,19,0
2016-1-11,17,28
2016-1-12,16,16
2016-1-13,13,21
2016-1-14,14,0
2016-1-15,16,3
2016-1-16,17,9
2016-1-17,17,16
2016-1-18,14,0
2016-1-19,13,14
2016-1-20,15,19
2016-1-21,16,53
2016-1-22,15,75
2016-1-23,10,45
2016-1-24,5,2
2016-1-25,7,0
2016-1-26,15,0
2016-1-27,20,0
2016-1-28,18,6
2016-1-29,17,20
2016-1-30,16,24
2016-1-31,17,21
2016-2-1,13,44
2016-2-2,12,39
2016-2-3,14,42
2016-2-4,16,56
2016-2-5,14,20
2016-2-6,12,0
2016-2-7,11,0
2016-2-8,11,0
2016-2-9,16,0
2016-2-10,20,0
2016-2-11,21,0
2016-2-12,20,0
2016-2-13,22,0
2016-2-14,15,53
2016-2-15,10,4
2016-2-16,12,1
2016-2-17,13,9
2016-2-18,15,20
2016-2-19,16,1
2016-2-20,14,0
2016-2-21,15,0
2016-2-22,18,0
2016-2-23,14,9
2016-2-24,13,15
2016-2-25,14,4
2016-2-26,14,29
2016-2-27,15,70
2016-2-28,17,0
2016-2-29,15,0
2016-3-1,14,0
2016-3-2,17,0
2016-3-3,18,0
2016-3-4,18,0
2016-3-5,21,0
2016-3-6,20,0
2016-3-7,21,0
2016-3-8,20,0
2016-3-9,16,32
2016-3-10,12,55
2016-3-11,12,20
2016-3-12,14,26
2016-3-13,16,41
2016-3-14,14,10
2016-3-15,14,10
2016-3-16,16,8
2016-3-17,18,4
2016-3-18,20,20
2016-3-19,18,7
2016-3-20,18,1
2016-3-21,17,8
2016-3-22,19,0
2016-3-23,16,42
2016-3-24,13,6
2016-3-25,12,19
2016-3-26,13,0
2016-3-27,13,2
2016-3-28,14,0
2016-3-29,18,0
2016-3-30,18,0
2016-3-31,18,0
2016-4-1,19,0
2016-4-2,22,0
2016-4-3,23,0
2016-4-4,21,0
2016-4-5,20,0
2016-4-6,22,0
2016-4-7,25,0
2016-4-8,21,0
2016-4-9,20,0
2016-4-10,20,10
